Materia,2020A,2020B,2021A,2021B,2022A,2022B
"Análisis de Algoritmos y Complejidad",NULL,NULL,NULL,NULL,NULL,NULL
"Arquitectura de Computadoras Modernas",NULL,NULL,NULL,NULL,NULL,NULL
"Bioinformática y Genómica Computacional",NULL,NULL,NULL,NULL,NULL,NULL
"Ciberseguridad y Ética Informática",NULL,NULL,NULL,NULL,NULL,NULL
"Computación en la Nube",NULL,NULL,NULL,NULL,NULL,NULL
"Computación Gráfica Avanzada",NULL,NULL,NULL,NULL,NULL,NULL
"Desarrollo de Videojuegos",NULL,NULL,NULL,NULL,NULL,NULL
"Diseño de Interfaces de Usuario",NULL,NULL,NULL,NULL,NULL,NULL
"Estructuración de Bases de Datos Relacionales",2.20,2.54,1.14,2.31,1.99,2.81
"Estructuración de Proyectos de Investigación",2.19,0.72,1.92,2.71,2.97,2.39
"Gestión de Proyectos Tecnológicos",NULL,NULL,NULL,NULL,NULL,NULL
"Ingeniería de Software Avanzada",NULL,NULL,NULL,NULL,NULL,NULL
"Inteligencia Artificial para la Toma de Decisiones",NULL,NULL,NULL,NULL,NULL,NULL
"Internet de las Cosas (IoT)",NULL,NULL,NULL,NULL,NULL,NULL
"Machine Learning y Minería de Datos",NULL,NULL,NULL,NULL,NULL,NULL
"Programación Móvil",2.85,2.22,2.40,1.90,3.72,0.92
"Programación Orientada a Objetos Avanzada",NULL,NULL,NULL,NULL,NULL,NULL
"Robótica Avanzada",NULL,NULL,NULL,NULL,NULL,NULL
"Sistemas Distribuidos",2.60,3.32,3.16,2.44,2.35,1.87
