Materia,2020A,2020B,2021A,2021B,2022A,2022B
"Análisis de Algoritmos y Complejidad",0.00,0.00,0.00,0.00,0.00,0.00
"Arquitectura de Computadoras Modernas",0.00,0.00,0.00,0.00,0.00,0.00
"Bioinformática y Genómica Computacional",0.00,0.00,0.00,0.00,0.00,0.00
"Ciberseguridad y Ética Informática",0.00,0.00,0.00,0.00,0.00,0.00
"Computación en la Nube",0.00,0.00,0.00,0.00,0.00,0.00
"Computación Gráfica Avanzada",0.00,0.00,0.00,0.00,0.00,0.00
"Desarrollo de Videojuegos",0.00,0.00,0.00,0.00,0.00,0.00
"Diseño de Interfaces de Usuario",0.00,0.00,0.00,0.00,0.00,0.00
"Estructuración de Bases de Datos Relacionales",2.20,2.54,1.14,2.31,1.99,2.81
"Estructuración de Proyectos de Investigación",2.19,0.72,1.92,2.71,2.97,2.39
"Gestión de Proyectos Tecnológicos",0.00,0.00,0.00,0.00,0.00,0.00
"Ingeniería de Software Avanzada",0.00,0.00,0.00,0.00,0.00,0.00
"Inteligencia Artificial para la Toma de Decisiones",0.00,0.00,0.00,0.00,0.00,0.00
"Internet de las Cosas (IoT)",0.00,0.00,0.00,0.00,0.00,0.00
"Machine Learning y Minería de Datos",0.00,0.00,0.00,0.00,0.00,0.00
"Programación Móvil",2.85,2.22,2.40,1.90,3.72,0.92
"Programación Orientada a Objetos Avanzada",0.00,0.00,0.00,0.00,0.00,0.00
"Robótica Avanzada",0.00,0.00,0.00,0.00,0.00,0.00
"Sistemas Distribuidos",2.60,3.32,3.16,2.44,2.35,1.87
