periodo,promedio,materia
2020A,2.20,"Estructuración de Bases de Datos Relacionales"
2020A,2.19,"Estructuración de Proyectos de Investigación"
2020A,2.85,"Programación Móvil"
2020A,2.60,"Sistemas Distribuidos"
2020B,2.54,"Estructuración de Bases de Datos Relacionales"
2020B,0.72,"Estructuración de Proyectos de Investigación"
2020B,2.22,"Programación Móvil"
2020B,3.32,"Sistemas Distribuidos"
2021A,1.14,"Estructuración de Bases de Datos Relacionales"
2021A,1.92,"Estructuración de Proyectos de Investigación"
2021A,2.40,"Programación Móvil"
2021A,3.16,"Sistemas Distribuidos"
2021B,2.31,"Estructuración de Bases de Datos Relacionales"
2021B,2.71,"Estructuración de Proyectos de Investigación"
2021B,1.90,"Programación Móvil"
2021B,2.44,"Sistemas Distribuidos"
2022A,1.99,"Estructuración de Bases de Datos Relacionales"
2022A,2.97,"Estructuración de Proyectos de Investigación"
2022A,3.72,"Programación Móvil"
2022A,2.35,"Sistemas Distribuidos"
2022B,2.81,"Estructuración de Bases de Datos Relacionales"
2022B,2.39,"Estructuración de Proyectos de Investigación"
2022B,0.92,"Programación Móvil"
2022B,1.87,"Sistemas Distribuidos"
